Date,Category,Product,Region,Sales,Cost,Quantity
2024-01-01,Electronics,Laptop,North,120000,85000,2
2024-01-05,Software,Cloud Subscription,North,45000,10000,15
2024-01-10,Electronics,Monitor,South,25000,15000,5
2024-01-12,Hardware,Printer,East,18000,12000,3
2024-01-15,Software,Antivirus,West,5000,500,10
2024-01-20,Electronics,Laptop,South,120000,85000,1
2024-01-22,Hardware,Keyboard,North,2500,1200,8
2024-01-25,Electronics,Monitor,East,25000,15000,2
2024-02-01,Electronics,Laptop,West,120000,85000,5
2024-02-05,Software,Cloud Subscription,South,45000,10000,20
2024-02-10,Hardware,Mouse,North,1200,500,25
2024-02-15,Electronics,Tablet,North,45000,30000,4
2024-02-20,Software,ERP License,East,250000,50000,1
2024-02-25,Electronics,Headphones,West,8500,4000,12
2024-03-01,Electronics,Laptop,North,120000,85000,3
2024-03-05,Hardware,External Drive,South,12000,7000,6
2024-03-10,Software,Cloud Subscription,East,45000,10000,30
2024-03-12,Electronics,Monitor,West,25000,15000,4
2024-03-15,Hardware,USB Cable,North,500,150,50
2024-03-20,Software,Antivirus,South,5000,500,25
